signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x1003DA80008401,1394,2200,68,0x201b0112800091 => 0x2440112980806,34,0x22034910800814,56,0x201b0112800091 => 0x22040112980806,28,0x220801109a4880
0xF400838C043D,1392,1992,28,0x10b580c18008da => 0x18b4011318085a,16,0x178010398085e,21,0x10b580c1800bc1 => 0x2f0400c18c042d,13,0x178010398085e
0x3FE0008002D,1392,1960,51,0x10003f8002082d => 0x20006f8000845a,26,0x50258280043d,39,0x20006f8000845a => 0x10003f8002082d,21,0x502582800bc2
0x500187A00414,1390,2392,50,0x10044185a04801 => 0x20040985a20401,25,0x458005aa4001,40,0x10044185a04801 => 0x20040985a20401,20,0x10104985a00401
0x10863084218421,1388,2260,31,0xc13404059830 => 0x888b20409a220,16,0x10843084218621,23,0x8813204418621 => 0xc6308401a830,13,0x20c43104218821
0x108580802C043D,1388,1912,45,0x30401805c0c2d => 0x88801803c0c5a,26,0x3087818040085a,35,0x10c005801c0c5a => 0x2113850018082d,19,0x8801805c0c5e
0x10840087AC0461,1382,1970,51,0x20838107a0030c => 0x106180c5a00861,27,0x840107bc0861,37,0x11038087a00198 => 0x20838107a0030c,19,0x10878087a00118
0x108400846D8421,1380,2322,38,0x20c3050405e020 => 0x20c70104618420,19,0x10800e840da420,30,0xc48104798820 => 0x10c1848401e820,15,0x10800e840da420
0x10858684220C21,1380,2264,38,0x40042845c7422 => 0x20c1043c7821,22,0x10858686200390,28,0x10878684220103 => 0x30840f043a0808,17,0x10858e8422400c
0x1085C684200C21,1380,2264,36,0x110406c42c0423 => 0x11058086203c21,21,0x40008843e7421,28,0x21078106243021 => 0x110406c42c0423,16,0x188586c4200023
0x800080200C20,1376,2984,15,0x1010000200c08 => 0x40c0100002020,11,0x4000100200043,11,0x200300003100 => 0x810000002310,7,0x800100200043
0x8B40047A1,1376,2404,28,0x4002b40000de => 0x221000b410002d,16,0x300000b40047a0,20,0x221000b410002d => 0x4002b40000de,11,0x400b40007b1
0x108000B7A00031,1370,2464,42,0x41800b7b00100 => 0x2008f5a00888,22,0x108000b7a00031,33,0x2008f5a00888 => 0x111000b7b00100,17,0x108000b7a00031
0x108400806C043D,1368,1952,64,0x10338080600b41 => 0x206381006005a2,32,0x7000806c045e,49,0x103380806005b0 => 0x206381006005a2,25,0x110800807c045a
0x108400846D8423,1358,2256,36,0x1000c840df620 => 0x20c3850405e020,19,0x10800e840db420,26,0x1000e840db620 => 0x30c0050419e820,15,0x188006840db420
