signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x803184200C2D,84,122,21,0x8d300428002d => 0x8d300448005a,11,0x30803184002b40,13,0x8d300448005a => 0x8d300428005a,7,0x308035840005a0
0x1087F084600621,84,120,14,0x10c1b686102190 => 0x20c33506043830,8,0x1083fe84002620,11,0x2083f704006620 => 0x1889b084720181,6,0x10c1b684126420
0x1180008FEC0431,84,118,20,0xc30010ffc0820 => 0x2183010fe008c1,10,0x118b808fe00018,13,0x1181808fe008c1 => 0xc30010ffc0820,7,0x118b808fe00180
0x63000818C042D,84,115,18,0x21830101800b43 => 0x21830101008c5a,9,0x218f010180005a,12,0x218301018000de => 0x21830101008c5a,6,0x18c010198085a
0x1007AE8030042D,84,112,17,0x8042e802c462d => 0x2082f005818da,10,0x2007af002007b0,13,0x2013a100446b46 => 0x1003a8802037b1,8,0x100bae8040023d
0x10720087A0047F,84,112,18,0x8858845a00b5e => 0x2030c905a00fe1,9,0x10324085a047ad,15,0x8858845a00b5e => 0x2030c905a00bda,8,0x10324085a047ad
0x10059680200C23,83,148,17,0x10039280507102 => 0x84011005868c6,9,0x20079700240043,12,0x84011005868c6 => 0x100f9080303101,6,0x20079700240043
0x184080C20047F,83,116,27,0x2180880c002fe0 => 0x1808c0c10007f,14,0x21808c0c0005ad,17,0x1808c0c10007f => 0x2180840c001fe0,9,0x21800c0c10007f
0x21108104640843,83,114,36,0x88d8004600c44 => 0x8800e041c7040,18,0x88d8004640222,20,0x88d8004600c44 => 0x8800e041c7040,10,0x8818604147020
0x10B400C43FF621,83,112,12,0x2f040ec43f8620 => 0x8b648c42db431,7,0x1e8000c43ff621,11,0x236800c43fb621 => 0x8b648c42db431,6,0x10b400c43ff621
0x10C400B43FF5A1,83,112,12,0xe0800b63db5b1 => 0x60a40b44df7a2,7,0x188400f42df7a1,11,0x64600b62db7a1 => 0x211800b63db5b1,6,0xe0400b43ff5a1
0x1080018C600FE1,82,164,14,0x1880018c600b5a => 0x103000c6c007f,8,0x10b000c68007f,9,0x410018c6005bd => 0x119000c68007f,5,0x1080018c600fe1
0xB4200C63,82,153,17,0xa5000b4002060 => 0x20cb4104108,9,0x84000b4002c60,11,0x20cb4104108 => 0xa5000b4400108,6,0x21000b4002c60
0x1007FE80200461,82,148,14,0x100471005c7862 => 0x200870803c7461,7,0x2007ff00200861,10,0x1805b0c0407462 => 0x220b6110207861,5,0x100bfe80400462
0x1000008FEC0401,82,132,12,0x201b010fe00000 => 0x1001808fe00081,7,0x10010ff80810,10,0x1001808fe00090 => 0x10ff80811,6,0x200b010fe00010
0x87AC0403,82,128,14,0xc105bc0800 => 0x20038105a60000,7,0x10018087a00003,10,0x8400105ba0800 => 0x20034105a00210,5,0x8400087ac0400
0x100000C7AC042D,82,118,21,0x100180c7a000da => 0x1005c085a205a0,11,0x1003c085a2002d,18,0x100180c7a000da => 0x1005c085a205a0,9,0x1003c085a2002d
0x300C0086324010,82,112,34,0x504906200294 => 0xa5000c4520280,17,0x2100086324094,19,0xa5000c4520280 => 0x504906200294,10,0x2100086324094
0x1085F68422042D,82,112,23,0x2087770426002d => 0x1089fc844215a0,12,0x1081f0842275a1,17,0x1085f68422082d => 0x1085f0844265a2,9,0x1089fe844205a0
0x10B7BE85A0042D,82,112,13,0x18b5be85a0085a => 0x10f5b685a0422d,7,0x10b7be85a0042d,11,0x10b5b685b005b1 => 0x10b63685ac062d,6,0x10f5b685a0043d
0xB5A00461,81,170,10,0x5000b5a00060 => 0xb5a04188,6,0x4000b5b00108,7,0x201000b5a00060 => 0xb5a00461,4,0x80000b5a00308
0x10C80000008C3,81,112,34,0x208a00005888 => 0x11120800105040,17,0xc008800045840,20,0x11120800105040 => 0x2300800005888,10,0xc008800045840
0x20200B4200C03,81,112,34,0x304000b4006c00 => 0x300002b4400c04,17,0x20e00b4400c00,20,0x84400b4006c00 => 0x300002b4400086,10,0x20e00b4400c00
0x100200B4200C03,81,112,34,0x21800b4204084 => 0x21200b4200884,17,0x184006b4000084,20,0x80c00b4204084 => 0x21200b4200884,10,0x184006b4000084
0x308000800C0623,81,112,34,0x200a800c5608 => 0x20c38300041020,17,0x60202801c1420,20,0x30c00300181820 => 0x2202800c1618,10,0x60202801c1420
0x83FE04080221,81,112,21,0x83f60408420c => 0x208871842048c1,11,0x10807f84000898,14,0x208873840068c0 => 0x83f60408420c,7,0x837e040c0031
0x108030842DB421,80,164,10,0x80330459e822 => 0x8031045de822,7,0x1083b08421b021,7,0x208b3d04458020 => 0x10883c844d8420,5,0x10c1b08421b021
0x80018C6007BD,80,160,12,0x3080058c002fe0 => 0x8d000c68007f,6,0x100018c6007bd,7,0x860018c600b5a => 0x3080058c002fe0,4,0x100018c600c7f
0x630008C2C3461,80,160,9,0x1183808c303061 => 0x218b8d0c440060,8,0x630010c383861,6,0x180810c3c3861 => 0x218b8d0c440060,5,0x2187070c200063
0x1004018C6007BD,80,160,10,0x30000f8c002fe0 => 0x2218018c600b5a,6,0x1004018c600fe3,7,0xa10018c600b5e => 0x2218018c600b5a,4,0xa00018c600c7f
0x108030846D8421,80,151,15,0x20833104658820 => 0x2083350405e020,8,0x1083b68401a020,10,0x10803104798821 => 0x1083b084618820,6,0xc034840de420
0x10000000C7F,80,150,15,0x1000007bd => 0x21100000005ad,8,0x840000008007f,9,0x300001b5a => 0x8410000000fe0,5,0x3000000008007f
0x4018C2005AD,80,150,11,0x5000c28007f => 0x41000c48007f,6,0x200018c002fe0,9,0x10c0c08007f => 0x1080c28007f,5,0x2000058c000fe0
0x101000B5A00061,80,150,14,0x100800b5a00118 => 0x81800b5a00060,8,0x101000b5a00061,10,0x100800b5a00061 => 0x81800b5a00060,6,0x800b5b00118
0x1FC2005A3,80,148,15,0x5fc000c2d => 0x5fc000c5a,9,0x300001fc200b40,9,0x5fc0000de => 0x5fc00023d,5,0x300001fc400b40
0x18400B42005AD,80,147,14,0x42000b440047f => 0x18004b400047f,7,0x218000b4200fe0,8,0x18004b400047f => 0x42000b4400b5e,4,0x218000b4200fe0
0x118000B42005AD,80,147,14,0x18006b400007f => 0x42000b440087f,7,0x118000b4200fe0,8,0x18002b4400b5a => 0x42008b420007f,4,0x118000b4200fe0
0x1087F884220421,80,146,16,0x1089f284126180 => 0x20837d04061822,8,0x1087f884220421,11,0x10c1b6c6000831 => 0x1083fc84021822,6,0x1085f084324421
0x210B1308440862,80,134,18,0x10c78088c00198 => 0x110411083c4861,9,0x211b8108c0011c,13,0x110a10880c7460 => 0x10c78088c00198,7,0x211b8108c00388
0x1081B884204C21,80,132,25,0x80bf041c4808 => 0x18c1b284002310,13,0x18c1b684000c20,14,0x20833f04004c08 => 0x18c1b284002310,7,0x18c1b684000310
0x1184008FEC0460,80,116,12,0x218b010fe0010c => 0x620008fec0461,9,0x2183810fe00860,8,0x420008ffc0461 => 0x188810ff80860,6,0x2183010fe00862
0x8000B46F85A3,80,112,15,0x40200b47f85a0 => 0x8200b47f85a0,9,0x40000b46f85a3,11,0x40200b47f85a0 => 0x8200b47f85a0,7,0x40000f46d85a3
0x10858087A00C63,80,110,34,0x108580c5a00c63 => 0x21038107a0039c,17,0x210f8107a00063,19,0x108580c5a00c63 => 0x11058087a0039c,10,0x10c0087bc0463
0x50138180023D,80,108,17,0x10101b8180402d => 0xd000198905e,9,0x3050138180005a,13,0x101b8180482d => 0xd000198905e,7,0x3050138180005a
0x1081F0846005A3,80,108,18,0x1083f0847005a0 => 0x308070846c042d,9,0x108df08460002d,12,0x1083f08470002d => 0x1081b0c46000de,6,0x108df0846005a0
0x100400B46D87A3,80,108,15,0x301000b47d85a2 => 0x100206b41da5b0,8,0xa0006b40db7a0,11,0x81800b46d85a3 => 0xeb41db5b0,6,0xa0006b40db7a0
0x318400F42D87A1,80,108,20,0x118408b42f85a3 => 0x31800af40da7a0,12,0xe6000f42d87a1,13,0x11800eb40f95a2 => 0x31800af40da7a0,7,0x31800ef40d87a0
0x84000842DB421,79,162,10,0x200b8d04458020 => 0x200b0d04418c20,5,0x84000842db421,6,0x40704398823 => 0x20070f0421c020,4,0x84000842db421
0x8000F7A00C63,79,158,17,0x31000f7a00318 => 0x310c00f7a00060,10,0x308000f7a0018c,10,0x308c00f7a00060 => 0x302000f7a00318,5,0x86000f7a0018c
0x100400F7A00C63,79,158,17,0x221800f7a00318 => 0x300c00f7a00862,9,0x85000f7a0038c,10,0x221800f7a00063 => 0x300c00f7a00461,5,0xa4000f7a0019c
0x800184618C23,79,151,12,0x10384041da020 => 0x2380047d8020,6,0x800184618c23,8,0x10384041da020 => 0x1010e0409f020,4,0x800184618c23
0x1080018C7C0C61,79,148,16,0x80078c1c6c60 => 0x311b818c600108,8,0x1080078c1c2c60,10,0x311b818c600108 => 0x1081868c0c6460,5,0x1080018c7c0c61
0x84018420,78,232,8,0x104018021 => 0x10004018022,5,0x400084018020,6,0x10004118020 => 0x8000104018020,4,0x20000004098020
0xB4200400,78,216,9,0x4000b4400000 => 0xb4400800,5,0x8b4200000,7,0xb4002080 => 0x4000b4400000,4,0xb4200200
0x20018C000C7F,78,158,12,0x10d000c08007f => 0x8d000c08007f,6,0x80018c0007bd,7,0x610018c000b5a => 0x230018c0005ad,4,0x400018c000fe3
0x101000F7A00081,78,156,18,0x100800f7a00810 => 0x80800f7a00801,9,0x180000f7a00011,12,0x1048b5b20001 => 0x1800f7a00801,6,0x101000f7a00081
0x100C00840D8423,78,152,22,0x21800840d8630 => 0x200b8304059020,11,0x100f8084118021,14,0x21800840d8630 => 0xa50010419c820,7,0x300c00840d8421
0x20C00B4200083,78,130,30,0x300004b4000c14 => 0x305000b4002c00,15,0x20c00b4200083,17,0x300004b4000886 => 0x305000b4002c00,9,0x20c00b4400083
0x2000280000C63,78,108,43,0x2020a80104108 => 0x20a8010410c,22,0xa400100040318,25,0x2020a80104108 => 0x20a8010410c,13,0xa400300000318
0x20086200C63,78,108,33,0xa500106240060 => 0x200408440039c,17,0x21000c420418c,19,0x9000620039c => 0x200408440039c,10,0x210408420038c
0x6020084000C63,78,108,33,0x6020a84005060 => 0x6000b04045060,17,0x310c008400410c,19,0x6020a84005060 => 0x6000b04045060,10,0xa70008400410c
0x8000B5A00C63,77,156,17,0x308c00b5a00060 => 0x31000b5a00318,10,0x8c00b5a0018c,10,0x31000b5a00318 => 0x310c00b5a00060,5,0xc4000b5a0018c
0x1004018C7C0C61,77,128,17,0x3043818c600198 => 0x300b818c600862,9,0x1800058c1c3c60,11,0x3003878c006460 => 0x3043818c600198,6,0x1800018c7c0c62
0x210F0100400C04,77,106,25,0x230f0100002c00 => 0x20238900244004,13,0x210f0100200203,15,0x230f0100002c00 => 0x10218880204c04,8,0x21030f00005200
0x10138880000C5E,77,104,17,0x180c00801c045e => 0x100f8080001bc2,9,0x20538100000c3d,13,0x100f8080001bc2 => 0x185000801c045e,8,0x205081001c083d
0x800C0404,76,252,6,0x800c0402 => 0x100180801,5,0x10038080000000,5,0x10058080000000 => 0x200b0100000000,4,0x10018080000800
0x180600420,76,172,10,0x8010000680020 => 0x100006800c0,6,0x40180600100,9,0x100006800c0 => 0x580002030,5,0x20000180600008
0x100180842D8423,76,156,12,0x20030104398823 => 0x3003838401b020,7,0x100384841d8420,7,0x3003838401b020 => 0x30038784019020,4,0x300001843d8c20
0xB46005A1,76,155,13,0x200000b460005a => 0xb460082d,7,0x80000b46005a0,10,0xb46000da => 0x20004b4002b40,6,0xb46007a0
0xF7A00401,76,152,12,0x20040b5a20080 => 0x1040b5a20004,7,0x248b5a20000,8,0x40b5a20401 => 0x100440b5a20000,4,0x4000f7a00010
0x100000F7A00081,76,152,14,0xf7a00890 => 0x800f7a00801,7,0x100048b5a20001,9,0x101800f7a00000 => 0x100800f7a00800,5,0x100048b5a20001
0x400F7A0042D,76,152,15,0xf7a00b46 => 0x200000f7a00b44,8,0x20040b5a245a0,9,0x200000f7a0045a => 0xf7a007a2,5,0x440b5a245a0
0x10F4018C600C3D,76,152,12,0x1ec4018c600bc1 => 0x1178018c60063d,7,0x1e800d8c007bc0,9,0x1ec4018c6008da => 0x18b4018c600bc6,5,0x1e800d8c007bc0
0x108070842FB421,76,152,12,0x887f045b8820 => 0x2083730443e022,8,0xc030c62db421,7,0x887d045b8821 => 0x208b710443e022,5,0x1081f08423f021
0x10867084738421,76,152,18,0x2088f0047f8021 => 0x87f004678822,9,0x188036c601b620,11,0x87f004678822 => 0x2088f104638c21,6,0x108a7084738422
0x18000842DB631,76,151,12,0x218b0d04418c20 => 0x11858684218c20,8,0xc6000842db421,7,0x21870704218c20 => 0x11898c84418c20,5,0x18c00844de422
0x803184618421,76,150,11,0x843184618021 => 0x20803184618820,7,0x833c0409a020,8,0x10803184618420 => 0x843184618021,4,0x81340419e020
0x1810000000C7F,76,148,12,0x4200080000bde => 0x18100000007bd,7,0x18c010000007f,8,0x1810000000bde => 0x4200080000bde,4,0x18c008000007f
0x20018380002D,76,132,15,0x81400188005a => 0x2051810005a0,9,0x20018380002d,14,0x20518100002d => 0x81400188005a,8,0x20018380005a
0x10018080000C2D,76,128,10,0x20030100000c5a => 0x10018080000c2d,6,0x100d808000005a,7,0x20030100000c5a => 0x90018482d,5,0x100d808000005a
0x1FE00100462,76,128,18,0x22086100c4030c => 0x104430c020430c,9,0x2004f900200388,15,0x1046308022410c => 0x2008730044030c,8,0x2004f90020011c
0x1185808C60042D,76,112,14,0x2180810c78085a => 0x2183010c60062d,7,0x1185808c60042d,10,0x2183010c60062d => 0x11818c8c0035a0,5,0x1185808c60042d
0x8407FC200C60,76,108,21,0x310407fc200108 => 0x30880dfc400108,11,0x2001fc203c61,13,0x308407fc200108 => 0x310407fc200108,7,0x40001fc406c62
0x8100800C63,76,106,31,0x8001b00005060 => 0x70800904108,16,0x810080039c,19,0x8001b00005060 => 0x70800904108,10,0x810080039c
0x10018087A00C03,76,104,33,0x300c00c5ac0400 => 0x100180c5a00c03,17,0x200f0107a00003,19,0x100180c5a00c03 => 0x300c00c5ac0400,10,0xc0087ac0403
0x10B400863FF431,76,104,12,0x116800c45ff622 => 0x18b7c0c421f421,7,0x1e864ec42d8620,10,0x1e8646c42d8431 => 0x10f580c433b621,6,0x1e864ec42d8620
0x188400B43FF5A1,76,104,10,0xe080cb45f95a2 => 0x18880ef44d87a1,7,0x188400f44df7a2,9,0xe080cb45f95a2 => 0x10c606b62d85b1,6,0xe0400f42df7a1
0x30138180023D,76,103,17,0x301381800b43 => 0x1101381800b43,9,0x200181809c5e,14,0x11013818007b0 => 0x301b8180402d,7,0x200181809c5e
0x1084018FFC0C61,76,102,44,0x3107818fe00198 => 0x30c3818fe00198,22,0x3073818fe00061,25,0x3107818fe00198 => 0x30c3818fe00198,13,0x3073818fe00188
0xF7A00C23,75,150,16,0xf7a00c43 => 0x84000f7a000c4,10,0x21048b5a24008,9,0xc00f7a00103 => 0xf7a00c23,5,0xa5000f7a00100
0x1800018C000FE1,75,128,14,0xb020c08007f => 0x19000c0c007f,7,0x808018c004fe0,10,0x13000c0c007f => 0xb020c08007f,5,0x808018c004fe0
0xB5A00401,74,172,10,0x20000b5a00080 => 0x1000b5a00004,6,0x4000b5a00010,6,0x200800b5a00000 => 0xb5a00804,4,0x80000b5a00400
0x180018C200061,74,164,10,0x181040c084060 => 0x420018c006060,6,0x183000c082060,7,0x420018c204060 => 0x420018c006060,4,0x180058c000860
0x1184008C7C0463,74,148,10,0x218b810c60031c => 0x21838d0c043860,6,0x1184008c7c0463,7,0x21808f0c186860 => 0x11820c8c1c3460,4,0x2187810c600863
0x183FE0C000461,74,148,18,0x2188708c304461 => 0x1184710c441862,9,0x183fe0c00011c,11,0x1184710c441862 => 0x2180768c104461,6,0x183fe0c00011c
0x10878E803C7421,74,148,14,0x231b0d005868c6 => 0x18c586802c3631,12,0x210f81007c7843,10,0x18c586802c3631 => 0x231b0d005868c6,6,0x308c01807c7c43
0x20018C7C0C63,74,140,12,0x2083850c1c2860 => 0x2023810c7c0860,7,0x100018c7c0c63,8,0x1023808c7c0460 => 0x1103848c1c2460,4,0x100018c7c0c63
0x50018C7C0C63,74,140,12,0x1003848c1c7460 => 0x2053810c7c0860,6,0x2008018c7c0c63,8,0x1003848c1c7460 => 0x2053810c7c0860,4,0x2008018c7c0c63
0x80018C638C63,74,140,14,0x83840c1fa060 => 0x1010e0c0bf060,7,0x20018c638c63,9,0x83840c1fa060 => 0x103840c1fa060,5,0x400018c638c63
0x10843184618C23,74,140,12,0x8d30047d8023 => 0x30803f8401ac20,7,0x81b6041df020,8,0x30c0358401ac30 => 0x208c3184618823,4,0x81b6041df020
0x10843184618422,74,120,14,0x20c0358401b420 => 0x8530047d8022,9,0xc1340419b030,10,0x20883184618422 => 0x85b004698222,6,0x83bc0409a030
0x18000B42D85A1,74,118,19,0x42000b42d85a2 => 0x42000b44d85a1,10,0x18000b40de5a0,13,0x42000b44d95a0 => 0x42000b45d85a0,7,0x42000b42dc5a0
0x1070000C7C0063,74,104,14,0xe18008c700461 => 0x10c6000c7c0061,7,0x1070000c7c0063,10,0x10c6000c7c0061 => 0xe18008c700461,5,0x1070000c7c0063
0xF4010C7C0863,74,104,14,0x2f10008c7c0461 => 0x117b808c700062,7,0xf4010c7c0863,10,0x8f4008c7c0461 => 0x117b808c700062,5,0xf4010c7c0863
0x18401FC203C61,74,104,12,0x21840ffc204060 => 0x18003fc407462,11,0x1880dfc400c62,8,0x18009fc203c61 => 0xc6001fc407062,6,0x1880dfc400c62
0x38E041C0030,74,102,30,0x20c0184003c30 => 0xa5001840070c0,15,0x84102041c3030,17,0x8440184003c30 => 0xa5001840070c0,9,0x38a04083230
0x1087F084600431,74,102,21,0x1885b0c4600831 => 0x20c33504067820,11,0x10c3b686002620,14,0x1885b0c4600898 => 0x10c035041e7820,7,0x108bf084600621
0x7000C7AC061C,74,100,22,0x110400c7ac061c => 0x1087c085a2408c,12,0x324885ae440c,14,0x208800c7ac061c => 0x1087c085a2408c,7,0x108400c7ac061c
0x50018FFC0C1C,74,100,23,0x240018ffc0c31 => 0x3053818fe00114,14,0x3053818fe0001c,15,0x3053818fe00114 => 0x240018ffc0c31,8,0x3053818fe00842
0xB5A00C23,73,148,16,0xb5a00c43 => 0x84000b5a000c4,10,0xa5000b5a00008,9,0x84000b5a000c4 => 0xb5a00c43,5,0xa5000b5a00008
0xB5A00C61,73,146,13,0x21800b5a00060 => 0x84000b5b00108,7,0x208b5b00108,8,0x301000b5a00060 => 0x84000b5b00108,4,0x80000b5a00318
0x8000806C0420,72,156,9,0x10004800c2440 => 0x800500182820,7,0x10218080600008,7,0x21030500002100 => 0x10818480002100,5,0x800100780840
0x108409843FFC21,72,144,13,0x208bc1045df822 => 0x31078f84238c21,9,0x10c580c42db631,8,0x308bcf84418c22 => 0x11078e843f8421,5,0x10858e843fc421
0x8000846E0420,72,140,15,0x21030504022020 => 0x804504182840,8,0x10818484022020,12,0x10818084620100 => 0x40040846c0420,6,0x8044840c2420
0x1003FE80000861,72,122,17,0x201b6110401388 => 0x1805b082300198,9,0x100bf280400388,14,0x1805b880320188 => 0x101be080c0030c,7,0x100bf280400862
0x85AC0461,72,120,17,0x20030905a00108 => 0x20070105a00108,9,0x20030105a00860,15,0x20030905a00108 => 0x10058085a00108,8,0x10000085ac0460
0x10000184618821,72,120,16,0x18100184618020 => 0x41040409e220,8,0x1000078401a820,12,0x8180184618020 => 0x41040409e220,6,0x900046d8021
0x1080338401C021,72,120,18,0x8b3004098221 => 0x89320409c220,9,0x8130040dc221,11,0xc0338401c021 => 0x8b3004098221,6,0xc330040d8021
0x108230846D8421,72,118,19,0x20c3350405a820 => 0x20c3350405e020,10,0x10c1b68401e020,11,0x10c035041da820 => 0x10c0350419e820,6,0x1081b68401e220
0x1FC203C21,72,104,19,0x1fc406c22 => 0x1fc203c41,10,0x30080dfc400100,11,0x1fc406c22 => 0x1fc406c42,6,0x30080dfc400008
0x1EC5B0B40007A0,72,96,17,0x168db0b4005b40 => 0x1ec1b0b410402d,9,0x1685b0b400063d,13,0x1689b2b4001b42 => 0x16c3b0b410003d,7,0x1685b0b40007a3
0xF7A00461,71,142,12,0x20040b5a20188 => 0x1040b5a2010c,7,0x248b5a20108,7,0x100400f7a00060 => 0xf7a00862,4,0x4000f7a00118
0x2000018C1C0C62,71,134,11,0x3003898c00010c => 0x3047818c000108,6,0x2000018c1c1c60,8,0x3007898c000108 => 0x3043818c00010c,4,0x200018c1c1c60
0xC000B5AFB5AD,71,104,11,0x40200b5afb5ad => 0x2000f5adb7ad,8,0x40400b5afb5ad,7,0x8200b5afb5ad => 0x2200b7adb5ad,6,0x44000b7adb5ad
0x10858085A00C63,71,98,28,0x21038105a0039c => 0x10878885b04108,14,0x210c8105bc0860,16,0x10878885b04108 => 0x21038105a0039c,8,0x210f8105a00c60
0x108400B47D85A3,71,96,20,0xa2000b47d85a3 => 0x30c400b46d85a1,12,0x210006b41df5a0,13,0x45000b47d85a3 => 0x30c400b46d85a1,7,0x7000b47d85a3
0x20018C600C60,70,156,10,0x230018c600108 => 0x610018c600108,6,0x100018c600063,7,0x860018c600108 => 0x230018c600108,4,0x20018c600c60
0xB5A00C01,70,142,12,0xb5a00884 => 0x21800b5a00000,7,0x8b5b04000,7,0xb5a00083 => 0x80008b5a04000,4,0x80000b5a00210
0x184008C638462,70,140,20,0x2180850c03a460 => 0x660008c638062,10,0x184000c7b8062,12,0x181840c13a460 => 0x1810c0c13b060,6,0x184000c7b8062
0x40B5A00C63,70,132,14,0x300c00f5a00060 => 0x300c00b7a00060,7,0x21040b5a0018c,9,0x300c00b7a00060 => 0x300c00f5a00060,5,0x21000f5a0018c
0x50018C1C5C60,70,124,12,0x3053818c000388 => 0x30038b8c00011c,6,0xa00018c1c5c60,8,0x30038b8c000388 => 0x3053818c000388,4,0xa00018c1c5c60
0x10B4018C638461,70,100,15,0x16c0018c638861 => 0x16b000c6f8062,9,0x2f08018c638860,10,0x16b000c6f8062 => 0x368018c638861,6,0x2f08018c638860
0x108D8080400C5A,70,96,20,0x1023828050105a => 0x18c184800000de,12,0x8e00805c045a,12,0x302002804c145a => 0x18c184800000de,6,0x108d8080400c5a
0x10867884218431,70,96,16,0x20c0b606198031 => 0x18803c440d9222,8,0xc5b04401f620,11,0x20c0b706018431 => 0x1086788401b830,6,0xc7b00403f420
0x308800B42D85A3,70,96,20,0x31800b40da7b0 => 0x40a02b45d95a0,12,0x310800b44d85a3,12,0x303000b40da7b0 => 0x40a02b45d95a0,6,0x310800b44d85a3
0x10C4318620043D,69,96,19,0x20c4318422442d => 0x208871842047a1,10,0x10807f8400085e,14,0x20c4318422442d => 0x10c0378600062d,7,0x10807f84000bc2
0x18C200061,68,157,9,0x1000c086060 => 0x1000c480061,5,0x800018c002060,7,0x1020c082060 => 0x38c400108,4,0x18c002860
0x300C0080200C23,68,152,10,0x8408300441310 => 0x2120880304184,6,0x30000a80007c20,8,0x8408300441310 => 0x212088030408c,4,0x300c0100200c23
0x80018020002D,68,146,9,0x21000048005a => 0x21000028002d,6,0x40001800025a0,7,0x21000028005a => 0x21000048005a,4,0x800180002b40
0x803184618C21,68,134,12,0x8c3184618021 => 0x30803184618820,7,0x8c1340409a220,8,0x10803184618c20 => 0x8c3184618021,4,0x83340419e020
0x108180846D8423,68,129,14,0x3103858401ac20 => 0x30238184618c20,7,0x8001847d8c23,8,0x3103858401ac20 => 0x102380847d8420,4,0x8001847d8c23
0x108440843FF421,68,128,14,0x208b4d04479822 => 0x2088c3045be822,7,0x10844e843f8421,9,0x6084c845f9422 => 0x208842845fe422,5,0x1087c08423f421
0x1007FE80200462,68,116,16,0x220b6d00c4011c => 0x1045b6c0204388,8,0x2007ff0020011c,13,0x2047b702200198 => 0x22076f10200198,7,0x2007ff00200388
0x1740008002D,68,108,17,0x258082002d => 0x1300228005a,9,0x758000005a,16,0x1300228005a => 0x2582800b40,8,0x758000002d
0x1181808C60042D,68,104,11,0x1181808c70005a => 0x420010c78085e,7,0x2187010c60005a,8,0x1181808c70002d => 0x420008c7c045a,5,0x1185808c60002d
0x100580C7A00C01,68,92,15,0x1005c085b20084 => 0x2104085ae4401,8,0x44885ae4401,11,0x2104085ae4401 => 0x1005c085b20084,6,0x44885ae4401
0x1071A48100007F,68,92,14,0x1061a481000fe2 => 0x20332501001b5a,10,0x2073250100007f,13,0x2023a501001b5a => 0x1023a4810045ad,8,0x20732501000b5a
0xB40045A0,67,173,9,0x100000b400005a => 0x200000b400005a,5,0xb40045a0,6,0x200000b400005a => 0x100000b400002d,4,0x4000b40005a0
0x1000018C000061,67,152,8,0x1000c084061 => 0x3000c0c0060,5,0x1000018c004060,7,0x19000c080060 => 0x810018c000108,4,0x8018c000860
0x1FC600C61,67,134,13,0x301001fc600108 => 0x300005fc002860,7,0x801fc600063,8,0x300005fc002860 => 0x21801fc600108,4,0x801fc600063
0x100190802005AD,67,97,13,0x10018480800fe0 => 0x10018080c00fe0,7,0x20031500000fe0,11,0x10018480800b5a => 0x10018080c00fe0,6,0x20031100200fe0
0x10818087AC042D,67,92,13,0x804185bc0c5a => 0x204185bc0c5a,7,0x800187bc0c2d,11,0x20834105b8085a => 0x204185bc0c5a,6,0x1000187bc0c2d
0x85AC0401,66,142,9,0x8000105b80800 => 0x105b80802,5,0x85bc0400,7,0x8000105b80800 => 0x105b80802,4,0x400085ac0400
0x1FC600C01,66,132,12,0x1fc600c10 => 0x100005fc002c00,6,0xffc006000,7,0x184001fc600000 => 0x1fc600211,4,0xc01fc600001
0x1180008C6C0461,66,132,13,0x1182048c0c2460 => 0xc30010c780860,7,0xc20008c6c0461,9,0x1181808c600198 => 0x2183050c042860,5,0x1180008c6c0461
0x40800000C63,66,124,21,0x20008200141108 => 0x20008a00041108,11,0x30000800000c62,13,0x20008a00041108 => 0x20008200141108,7,0x30000000001c62
0x60000000C63,66,124,21,0x20008200045108 => 0x10020800105108,11,0x200c0000040063,13,0x20008200045108 => 0x10020800105108,7,0x100c0000100063
0x10018080000C63,66,124,21,0x20038300041108 => 0x10038880104108,11,0xc00800c0463,13,0x10038880104108 => 0x20038300041108,7,0x100d8080000063
0x80000C038C63,66,124,12,0x1000a0c03d060 => 0x800a0c03d060,7,0x400000c038c63,7,0xe50000c038060 => 0x4000a0c03d060,4,0x100000c038c63
0x58C000C7F,66,124,12,0xd000c28007f => 0xd000c48007f,6,0x3000018c002fe0,7,0xd000c48007f => 0x58c0007bd,4,0x3000058c000fe0
0x108180840D8423,66,121,16,0x2023090419c820 => 0x31038184018c20,8,0x40009841dcc20,9,0x2009841dcc20 => 0x108380841d8420,5,0x40003841d9c20
0x80018620002D,66,116,17,0x204184200b40 => 0x800586000b40,9,0x80418420002d,17,0x21400428005a => 0x81040608005a,9,0x81400428002d
0x187A00C2D,66,111,13,0x187a005a3 => 0x4185a005a3,7,0x1c005ac002d,9,0xd0007a8005a => 0x4185a005a3,5,0x1c005ac002d
0xB400818C042D,66,108,10,0x10b580818005a0 => 0x16810810c042d,6,0x216b010180002d,7,0x20b70101800b40 => 0x16810810c042d,4,0x1169808180005a
0xC7AC0401,66,104,18,0x100580c7a00000 => 0x4105ba0801,9,0x10004085ae0400,17,0x100580c7a00000 => 0xc7ac0401,9,0x100000c7ac0400
0x168000842FB421,66,104,10,0x20b7410421b021 => 0x216b010443e022,6,0xb400842fb421,7,0x2d080d045b8820 => 0xb400c44de422,4,0x168000842fb421
0x1184008C7F8463,65,130,14,0x218f810c638461 => 0x11838c8c03bc60,7,0x11800e8c1fb460,8,0x218f810c638461 => 0x21838d0c07b860,4,0x118c008c7f8462
